occupation,unknown count,Action count,Adventure count,Animation count,Children's count,Comedy count,Crime count,Documentary count,Drama count,Fantasy count,Film-Noir count,Horror count,Musical count,Mystery count,Romance count,Sci-Fi count,Thriller count,War count,Western count
technician,0,1073,556,131,220,1047,274,24,1287,38,45,163,174,177,641,531,789,383,89
other,0,2660,1424,419,872,3139,818,61,4255,143,146,530,562,574,2158,1241,2308,997,170
writer,0,1290,670,175,364,1561,496,45,2185,71,125,452,270,334,1002,670,1296,444,94
executive,1,801,436,91,231,939,284,26,1395,50,58,154,131,202,587,389,805,312,49
administrator,0,1846,1016,202,458,2180,563,46,3060,92,145,389,351,381,1522,941,1556,780,168
student,0,6365,3339,911,1747,6889,1824,115,7705,350,265,1328,1073,1002,4126,3059,5095,1766,408
lawyer,0,280,141,35,82,456,107,10,537,14,36,60,72,78,268,141,243,142,35
educator,0,1958,1124,261,586,2687,706,96,4240,111,201,419,478,528,1985,984,1757,1001,189
scientist,0,563,283,61,106,530,177,16,916,19,37,69,91,119,433,318,461,254,24
entertainment,0,498,248,62,103,569,207,23,797,24,47,191,68,132,339,289,551,173,27
programmer,0,2311,1236,308,572,2396,662,50,2776,116,141,388,380,370,1391,1162,1742,753,161
librarian,0,985,532,157,287,1555,366,48,2533,55,96,225,238,290,1237,507,972,480,81
homemaker,0,90,41,9,25,92,24,1,99,3,4,8,15,32,59,30,93,28,0
artist,0,526,308,119,200,611,199,30,948,23,64,100,157,164,459,305,472,224,29
engineer,0,2272,1294,361,623,2417,604,49,3117,123,144,413,439,359,1457,1220,1703,856,180
marketing,0,473,245,78,161,530,160,10,808,20,40,86,113,128,378,221,439,226,35
none,0,300,159,43,91,253,73,1,266,12,11,56,43,32,148,145,259,55,10
healthcare,0,574,321,89,212,716,199,45,1289,37,50,120,126,140,495,266,559,230,47
retired,0,277,159,35,110,504,137,15,724,22,43,66,92,98,318,130,307,145,33
salesman,0,221,98,15,38,310,77,2,310,9,14,49,27,40,163,98,198,77,16
doctor,0,110,57,22,28,164,41,12,235,7,9,18,27,27,132,56,116,44,5
